what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1396539217087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396539217126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396539220351
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1396539224813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396539336212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396540952161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396540954116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396541015596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396541032285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396541033659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396541034950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396541040456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396541042372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396541043827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396541873001
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1396541873020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396541890967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542324617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542325728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542341478
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1396542341520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542348499
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1396542350558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542350639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542354897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542626472
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1396542626492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542627354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542627412
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1396542628144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542632279
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1396542636205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542638963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542640392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542658155
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1396542658200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542659208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542668004
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1396542672570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542673901
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1396542675619
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1396542676070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542676123
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1396542676137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396542680837
