what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707185913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707190830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707198696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707205272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707217191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707219915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707299231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707308787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707311283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707341720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707345255
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1396707345396
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1396707345449
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1396707346803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707367934
started,bundle,org.eclipse.wst.server.http.core,1.0.200.v20090429,"org.eclipse.wst.server.http.core",1396707368017
started,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1396707368019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707384926
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1396707384938
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1396707386580
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1396707388185
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1396707388597
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1396707388956
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1396707390366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707393636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707410689
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1396707410701
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1396707411669
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1396707414297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707416237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707418681
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1396707418699
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1396707421326
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1396707421359
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1396707428582
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1396707430430
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1396707436757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707438623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707442476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1396707442488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707448675
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707457465
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1396707460759
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1396707467397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707482033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707507915
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396707508265
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396707508342
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1396707511525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396707528280
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396707529506
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1396707530407
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1396707530494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396707545104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396707548553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396707550007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396707550991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396707552824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396707554616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396707559911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396707568620
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396707569319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396707580479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396707581344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396707582512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396707583405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396707584269
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1396707585048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1396707587912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1396707597623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707598996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707726444
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1396707727560
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1396707729637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707731998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707737804
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1396707737847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1396707737847
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1396707739613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707756883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1396707796308
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1396707798890
